Date_Key,Scenario_ID,GL_Account_ID,CF_Category,Amount_EUR
20200131,ACT,CF001,Operating,5627843.96
20200131,ACT,CF002,Operating,1967774.01
20200131,ACT,CF003,Operating,189647.49
20200131,ACT,CF004,Operating,5094032.13
20200131,ACT,CF005,Operating,7395834.54
20200131,ACT,CF006,Operating,-5347039.3
20200131,ACT,CF007,Operating,52540.74
20200131,ACT,CF008,Operating,-106778.94
20200131,ACT,CF009,Operating,116795.75
20200131,ACT,CF010,Investing,-1737486.81
20200131,ACT,CF011,Investing,0
20200131,ACT,CF012,Investing,27843.31
20200131,ACT,CF013,Investing,-643756.17
20200131,ACT,CF014,Financing,0
20200131,ACT,CF015,Financing,0
20200131,ACT,CF016,Financing,0
20200131,ACT,CF017,Financing,0
20200131,ACT,CF018,Financing,-163011.65
20200131,BUD,CF001,Operating,5598337.68
20200131,BUD,CF002,Operating,1959423.7
20200131,BUD,CF003,Operating,187225.77
20200131,BUD,CF004,Operating,3565822.49
20200131,BUD,CF005,Operating,5177084.18
20200131,BUD,CF006,Operating,-3742927.51
20200131,BUD,CF007,Operating,26270.37
20200131,BUD,CF008,Operating,-53389.47
20200131,BUD,CF009,Operating,0
20200131,BUD,CF010,Investing,-1650612.47
20200131,BUD,CF011,Investing,0
20200131,BUD,CF012,Investing,13921.66
20200131,BUD,CF013,Investing,0
20200131,BUD,CF014,Financing,0
20200131,BUD,CF015,Financing,0
20200131,BUD,CF016,Financing,0.0
20200131,BUD,CF017,Financing,0
20200131,BUD,CF018,Financing,0
20200229,ACT,CF001,Operating,5765238.23
20200229,ACT,CF002,Operating,1978559.75
20200229,ACT,CF003,Operating,198573.64
20200229,ACT,CF004,Operating,-3005775.36
20200229,ACT,CF005,Operating,-950945.98
20200229,ACT,CF006,Operating,1726386.79
20200229,ACT,CF007,Operating,-39003.44
20200229,ACT,CF008,Operating,66783.03
20200229,ACT,CF009,Operating,89387.4
20200229,ACT,CF010,Investing,-1844785.72
20200229,ACT,CF011,Investing,0
20200229,ACT,CF012,Investing,30102.89
20200229,ACT,CF013,Investing,-388053.07
20200229,ACT,CF014,Financing,0
20200229,ACT,CF015,Financing,0
20200229,ACT,CF016,Financing,0
20200229,ACT,CF017,Financing,0
20200229,ACT,CF018,Financing,-150285.77
20200229,BUD,CF001,Operating,6013402.93
20200229,BUD,CF002,Operating,1974297.77
20200229,BUD,CF003,Operating,196906.43
20200229,BUD,CF004,Operating,-2104042.75
20200229,BUD,CF005,Operating,-665662.19
20200229,BUD,CF006,Operating,1208470.75
20200229,BUD,CF007,Operating,-19501.72
20200229,BUD,CF008,Operating,33391.52
20200229,BUD,CF009,Operating,0
20200229,BUD,CF010,Investing,-1752546.44
20200229,BUD,CF011,Investing,0
20200229,BUD,CF012,Investing,15051.45
20200229,BUD,CF013,Investing,0
20200229,BUD,CF014,Financing,0
20200229,BUD,CF015,Financing,0
20200229,BUD,CF016,Financing,0.0
20200229,BUD,CF017,Financing,0
20200229,BUD,CF018,Financing,0
20200331,ACT,CF001,Operating,4524808.21
20200331,ACT,CF002,Operating,1968596.9
20200331,ACT,CF003,Operating,174962.57
20200331,ACT,CF004,Operating,-3705676.68
20200331,ACT,CF005,Operating,-3443197.4
20200331,ACT,CF006,Operating,-2777199.02
20200331,ACT,CF007,Operating,77815.53
20200331,ACT,CF008,Operating,-110041.2
20200331,ACT,CF009,Operating,145764.05
20200331,ACT,CF010,Investing,-1665935.36
20200331,ACT,CF011,Investing,0
20200331,ACT,CF012,Investing,26018.57
20200331,ACT,CF013,Investing,-325123.04
20200331,ACT,CF014,Financing,0
20200331,ACT,CF015,Financing,-4000000.0
20200331,ACT,CF016,Financing,-4751048.62
20200331,ACT,CF017,Financing,0
20200331,ACT,CF018,Financing,-283969.68
20200331,BUD,CF001,Operating,4587051.36
20200331,BUD,CF002,Operating,1968605.79
20200331,BUD,CF003,Operating,173696.83
20200331,BUD,CF004,Operating,-2593973.67
20200331,BUD,CF005,Operating,-2410238.18
20200331,BUD,CF006,Operating,-1944039.31
20200331,BUD,CF007,Operating,38907.76
20200331,BUD,CF008,Operating,-55020.6
20200331,BUD,CF009,Operating,0
20200331,BUD,CF010,Investing,-1582638.59
20200331,BUD,CF011,Investing,0
20200331,BUD,CF012,Investing,13009.29
20200331,BUD,CF013,Investing,0
20200331,BUD,CF014,Financing,0
20200331,BUD,CF015,Financing,-4000000.0
20200331,BUD,CF016,Financing,-4513496.19
20200331,BUD,CF017,Financing,0
20200331,BUD,CF018,Financing,0
20200430,ACT,CF001,Operating,4055314.95
20200430,ACT,CF002,Operating,1976863.31
20200430,ACT,CF003,Operating,167667.56
20200430,ACT,CF004,Operating,1914775.81
20200430,ACT,CF005,Operating,1651324.37
20200430,ACT,CF006,Operating,-1058176.97
20200430,ACT,CF007,Operating,26805.56
20200430,ACT,CF008,Operating,-68167.93
20200430,ACT,CF009,Operating,108800.16
20200430,ACT,CF010,Investing,-1677225.77
20200430,ACT,CF011,Investing,0
20200430,ACT,CF012,Investing,30815.04
20200430,ACT,CF013,Investing,-359023.67
20200430,ACT,CF014,Financing,0
20200430,ACT,CF015,Financing,0
20200430,ACT,CF016,Financing,0
20200430,ACT,CF017,Financing,0
20200430,ACT,CF018,Financing,-102852.95
20200430,BUD,CF001,Operating,4235574.34
20200430,BUD,CF002,Operating,1983410.74
20200430,BUD,CF003,Operating,165734.07
20200430,BUD,CF004,Operating,1340343.07
20200430,BUD,CF005,Operating,1155927.06
20200430,BUD,CF006,Operating,-740723.88
20200430,BUD,CF007,Operating,13402.78
20200430,BUD,CF008,Operating,-34083.96
20200430,BUD,CF009,Operating,0
20200430,BUD,CF010,Investing,-1593364.48
20200430,BUD,CF011,Investing,0
20200430,BUD,CF012,Investing,15407.52
20200430,BUD,CF013,Investing,0
20200430,BUD,CF014,Financing,0
20200430,BUD,CF015,Financing,0
20200430,BUD,CF016,Financing,0.0
20200430,BUD,CF017,Financing,0
20200430,BUD,CF018,Financing,0
20200531,ACT,CF001,Operating,4297520.97
20200531,ACT,CF002,Operating,1953765.23
20200531,ACT,CF003,Operating,174590.34
20200531,ACT,CF004,Operating,-3639777.54
20200531,ACT,CF005,Operating,-2438271.68
20200531,ACT,CF006,Operating,933033.47
20200531,ACT,CF007,Operating,-24185.23
