Date_Key,Scenario_ID,Division_ID,Product_Group_ID,Cost_Component,Material_ID,Material_Name,Quantity_Used,Unit_Cost_EUR,Amount_EUR,Material_Price_Index
20200131,ACT,DIV01,PG01,Raw_Materials,MAT02,Polymers,79815.8,21.34,1703268.32,100.3
20200131,ACT,DIV01,PG01,Direct_Labor,,,10782.2,63.35,683052.68,100.3
20200131,ACT,DIV01,PG01,Manufacturing_Overhead,MAT08,Solvents,,,459250.79,100.3
20200131,ACT,DIV01,PG01,Freight,,,,,183050.99,100.3
20200131,ACT,DIV01,PG01,Inventory_Writedown,,,,,61290.66,100.3
20200131,BUD,DIV01,PG01,Raw_Materials,MAT02,Polymers,,,1721360.44,100.0
20200131,BUD,DIV01,PG01,Direct_Labor,,,,,688544.18,100.0
20200131,BUD,DIV01,PG01,Manufacturing_Overhead,MAT08,Solvents,,,469461.94,100.0
20200131,BUD,DIV01,PG01,Freight,,,,,187784.78,100.0
20200131,BUD,DIV01,PG01,Inventory_Writedown,,,,,62594.93,100.0
20200131,ACT,DIV01,PG02,Raw_Materials,MAT06,Minerals,52069.0,30.97,1612577.01,99.8
20200131,ACT,DIV01,PG02,Direct_Labor,,,12547.6,51.41,645073.85,99.8
20200131,ACT,DIV01,PG02,Manufacturing_Overhead,MAT07,Resins,,,442174.05,99.8
20200131,ACT,DIV01,PG02,Freight,,,,,174375.01,99.8
20200131,ACT,DIV01,PG02,Inventory_Writedown,,,,,57712.17,99.8
20200131,BUD,DIV01,PG02,Raw_Materials,MAT06,Minerals,,,1599125.79,100.0
20200131,BUD,DIV01,PG02,Direct_Labor,,,,,639650.32,100.0
20200131,BUD,DIV01,PG02,Manufacturing_Overhead,MAT07,Resins,,,436125.22,100.0
20200131,BUD,DIV01,PG02,Freight,,,,,174450.09,100.0
20200131,BUD,DIV01,PG02,Inventory_Writedown,,,,,58150.03,100.0
20200131,ACT,DIV01,PG03,Raw_Materials,MAT02,Polymers,311862.2,5.44,1696530.31,99.3
20200131,ACT,DIV01,PG03,Direct_Labor,,,20351.6,33.3,677709.61,99.3
20200131,ACT,DIV01,PG03,Manufacturing_Overhead,MAT09,Adhesives,,,462637.84,99.3
20200131,ACT,DIV01,PG03,Freight,,,,,180939.11,99.3
20200131,ACT,DIV01,PG03,Inventory_Writedown,,,,,60923.21,99.3
20200131,BUD,DIV01,PG03,Raw_Materials,MAT02,Polymers,,,1703421.57,100.0
20200131,BUD,DIV01,PG03,Direct_Labor,,,,,681368.63,100.0
20200131,BUD,DIV01,PG03,Manufacturing_Overhead,MAT09,Adhesives,,,464569.52,100.0
20200131,BUD,DIV01,PG03,Freight,,,,,185827.81,100.0
20200131,BUD,DIV01,PG03,Inventory_Writedown,,,,,61942.6,100.0
20200131,ACT,DIV02,PG04,Raw_Materials,MAT03,Plastics,34013.2,30.97,1053390.32,101.5
20200131,ACT,DIV02,PG04,Direct_Labor,,,8287.1,49.58,410872.62,101.5
20200131,ACT,DIV02,PG04,Manufacturing_Overhead,,,,,285248.13,101.5
20200131,ACT,DIV02,PG04,Freight,,,,,113869.21,101.5
20200131,ACT,DIV02,PG04,Inventory_Writedown,,,,,37871.24,101.5
20200131,BUD,DIV02,PG04,Raw_Materials,MAT03,Plastics,,,994141.23,100.0
20200131,BUD,DIV02,PG04,Direct_Labor,,,,,397656.49,100.0
20200131,BUD,DIV02,PG04,Manufacturing_Overhead,,,,,271129.43,100.0
20200131,BUD,DIV02,PG04,Freight,,,,,108451.77,100.0
20200131,BUD,DIV02,PG04,Inventory_Writedown,,,,,36150.59,100.0
20200131,ACT,DIV02,PG05,Raw_Materials,MAT12,Filters,16635.4,58.91,979990.29,101.1
20200131,ACT,DIV02,PG05,Direct_Labor,,,10715.3,35.61,381570.65,101.1
20200131,ACT,DIV02,PG05,Manufacturing_Overhead,MAT10,Elastomers,,,265259.15,101.1
20200131,ACT,DIV02,PG05,Freight,,,,,106060.05,101.1
20200131,ACT,DIV02,PG05,Inventory_Writedown,,,,,34817.25,101.1
20200131,BUD,DIV02,PG05,Raw_Materials,MAT12,Filters,,,934279.25,100.0
20200131,BUD,DIV02,PG05,Direct_Labor,,,,,373711.7,100.0
20200131,BUD,DIV02,PG05,Manufacturing_Overhead,MAT10,Elastomers,,,254803.43,100.0
20200131,BUD,DIV02,PG05,Freight,,,,,101921.37,100.0
20200131,BUD,DIV02,PG05,Inventory_Writedown,,,,,33973.79,100.0
20200131,ACT,DIV02,PG06,Raw_Materials,MAT13,Foam,20401.2,45.63,930905.02,100.8
20200131,ACT,DIV02,PG06,Direct_Labor,,,33704.5,10.66,359290.33,100.8
20200131,ACT,DIV02,PG06,Manufacturing_Overhead,MAT04,Electronics,,,246438.02,100.8
20200131,ACT,DIV02,PG06,Freight,,,,,99793.77,100.8
20200131,ACT,DIV02,PG06,Inventory_Writedown,,,,,32710.44,100.8
20200131,BUD,DIV02,PG06,Raw_Materials,MAT13,Foam,,,896154.56,100.0
20200131,BUD,DIV02,PG06,Direct_Labor,,,,,358461.82,100.0
20200131,BUD,DIV02,PG06,Manufacturing_Overhead,MAT04,Electronics,,,244405.79,100.0
20200131,BUD,DIV02,PG06,Freight,,,,,97762.32,100.0
20200131,BUD,DIV02,PG06,Inventory_Writedown,,,,,32587.44,100.0
20200131,ACT,DIV03,PG07,Raw_Materials,MAT04,Electronics,45468.9,23.34,1061244.71,98.2
20200131,ACT,DIV03,PG07,Direct_Labor,,,34857.6,12.54,437114.22,98.2
20200131,ACT,DIV03,PG07,Manufacturing_Overhead,MAT05,Metals,,,297256.14,98.2
20200131,ACT,DIV03,PG07,Freight,,,,,118127.97,98.2
20200131,ACT,DIV03,PG07,Inventory_Writedown,,,,,39295.54,98.2
20200131,BUD,DIV03,PG07,Raw_Materials,MAT04,Electronics,,,1062624.51,100.0
